#{"t_start": 1761636255.9770958, "env_id": "None"}
r,l,t
3.2344007,33,8.582579
12.392834,41,8.723188
10.849695,43,8.780028
5.9309993,44,8.824004
13.798563,46,8.888003
7.909959,46,8.888003
13.426535,47,8.920001
11.915138,52,9.054695
5.728541,36,9.446899
13.344273,49,9.495166
16.520765,48,9.547815
5.874257,45,9.577812
12.48114,46,9.623655
16.782232,47,9.623655
17.744812,51,9.733612
18.19565,52,9.810469
12.449802,47,9.977968
19.579037,53,10.020762
16.807102,48,10.073651
6.026612,44,10.078752
12.967512,47,10.110711
26.641293,54,10.17363
12.54336,46,10.2072
31.301376,61,10.249265
10.6017685,42,10.340312
16.562641,49,10.430178
15.554678,51,10.568151
23.819035,58,10.607704
16.04909,55,10.642327
1.1626592,40,10.669221
18.495216,48,10.700783
15.960039,50,10.729487
4.051587,37,10.790385
10.993088,44,10.924774
14.477745,54,10.997683
25.647099,55,11.102907
33.07824,67,11.125495
8.181428,54,11.155527
28.450363,65,11.190347
34.272556,67,11.190347
35.30157,66,11.306241
8.451286,44,11.429214
12.203993,44,11.523342
19.084784,55,11.564203
12.510825,50,11.600184
25.071663,59,11.641874
30.790634,62,11.690242
22.273521,54,11.774025
13.679169,46,11.774388
40.37844,74,11.796936
5.8295245,39,11.862588
3.9330568,39,11.944887
14.669566,47,11.975665
23.427029,57,12.133523
9.602459,43,12.133523
7.5551925,47,12.198493
43.940117,77,12.229129
12.877552,49,12.258361
14.033933,45,12.54035
22.49192,58,12.573881
7.013935,53,12.622673
13.948811,44,12.712621
8.373034,45,12.751675
22.044216,54,12.788471
22.259645,60,12.842617
37.195076,70,12.893933
16.448578,48,12.919324
21.853172,54,12.947533
-1.8495908,35,13.000051
10.686705,46,13.045932
20.236794,52,13.14285
5.7779465,36,13.182558
23.728226,52,13.228977
44.87795,85,13.228977
21.169235,57,13.317055
16.582565,48,13.361214
20.529057,55,13.361214
12.833298,47,13.40196
13.948236,46,13.488435
9.160589,43,13.514978
16.745934,50,13.704873
-0.64289236,38,13.749758
19.124018,53,13.783843
22.557594,57,14.205669
24.705406,57,14.205669
16.36637,56,14.309232
2.6478348,38,14.362326
8.839066,52,14.415389
19.76528,54,14.415389
3.86831,42,14.462823
15.960975,53,14.54623
8.93941,44,14.70347
27.126293,62,14.727796
7.177101,43,14.749018
0.06720805,33,14.781559
34.81044,66,14.80809
28.746405,69,14.856923
27.620132,60,14.882453
25.800114,63,14.915501
2.1286516,37,15.025752
10.1577,47,15.124862
20.168182,51,15.200397
17.605148,56,15.241578
18.711088,56,15.280631
22.715,52,15.313899
24.862553,51,15.393305
24.752043,62,15.445839
-1.5339932,36,15.51249
27.280943,61,15.587221
13.53845,43,15.669295
9.770383,43,15.749755
19.19003,53,15.786144
20.488846,59,15.830637
13.194195,42,15.830637
33.300343,70,15.901453
13.289928,52,16.092674
11.045809,43,16.132806
3.718946,38,16.173549
15.784605,54,16.206549
46.960545,86,16.252549
14.937431,58,16.309885
23.403448,62,16.340305
52.92456,95,16.442303
12.654536,45,16.572815
15.924906,49,16.596151
20.384937,52,16.630391
14.013165,46,16.659532
10.997061,47,16.699009
10.898413,45,16.7469
17.2147,54,16.802472
6.1853647,37,17.139868
20.89623,62,17.204922
5.738861,37,17.204922
10.700526,47,17.232336
16.511692,48,17.299289
6.9011364,45,17.362468
37.96759,71,17.48437
4.9895287,36,17.529181
19.203384,56,17.557179
13.854821,42,17.62002
2.889205,42,17.646387
9.861348,47,17.68778
15.422937,50,17.762104
2.7108707,44,17.762104
11.373571,42,17.842993
21.4024,50,17.895869
-1.5437813,38,17.926374
29.30809,67,18.014435
20.094349,52,18.056089
16.290031,47,18.056089
19.060957,51,18.1875
17.96864,54,18.375983
4.1123524,38,18.499981
21.392185,57,18.702252
15.608641,51,18.760719
10.968468,41,18.797775
4.346022,42,18.797775
-0.39357996,44,18.840484
8.135789,43,22.908631
8.927631,39,22.954813
13.338763,49,22.981792
11.854466,42,23.09456
0.44302177,37,23.113338
-2.4561481,34,23.176573
16.781937,54,23.176573
16.269861,51,23.207104
20.305935,56,23.262019
6.5269356,49,23.337079
10.124841,43,23.414485
16.623375,48,23.497172
37.134716,73,23.497172
11.531097,45,23.547577
25.760733,56,23.591423
32.252155,65,23.645217
40.9272,76,23.669055
17.262936,58,23.748603
-2.7651224,41,23.813834
28.22514,58,23.846847
13.011862,44,23.888352
7.381381,42,23.953831
32.447495,64,23.996322
20.02141,56,24.024854
29.733597,58,24.083675
19.549404,51,24.125537
17.33941,53,24.230243
5.771829,37,24.230243
32.069183,69,24.274893
34.212055,69,24.31597
13.626535,50,24.350631
-8.155401,40,24.350631
15.641017,53,24.442804
46.373142,79,24.487091
7.6620235,39,24.518564
4.533777,35,24.577186
8.347019,39,24.592474
12.63809,46,24.629735
22.254173,57,24.658225
8.526898,46,24.766923
17.333153,50,24.810784
21.745913,54,24.846663
43.139168,80,24.877332
10.619293,47,24.898527
18.324837,50,24.951968
28.683208,66,25.02629
26.143703,60,25.047875
6.098989,46,25.101964
5.6438713,41,25.162776
20.283691,50,25.210087
15.160122,46,25.264589
30.363722,65,25.284801
32.335506,66,25.348653
22.341784,53,25.383763
15.40505,45,25.408602
16.49578,57,25.444396
18.636465,55,25.530561
17.395649,55,25.580243
24.449749,53,25.63814
8.074523,42,25.695379
29.153633,66,25.730394
12.548332,44,25.750402
17.616758,58,25.788068
23.631407,61,25.851201
8.092649,38,25.89781
6.289192,41,26.002405
29.08882,66,26.04689
8.114397,40,26.04689
