#{"t_start": 1761275657.5072408, "env_id": "None"}
r,l,t
113.94327,88,16.081357
168.95128,151,16.095069
133.50713,103,16.124283
71.05518,83,16.169814
260.85233,217,16.187535
100.92269,108,16.234389
98.0357,88,16.256449
82.58043,92,16.276452
154.01207,119,16.335489
124.25217,126,16.371603
141.10783,114,16.413117
137.3429,118,16.42505
135.0318,113,16.468385
226.3251,192,16.492272
137.06058,123,16.524962
97.38347,103,16.559411
70.664375,82,16.596777
94.383,85,16.607366
178.60178,159,16.619589
134.95114,119,16.652668
88.451614,96,16.693619
72.40697,84,16.781506
90.63757,91,16.79869
134.11894,116,16.816661
153.45729,136,16.816661
98.46995,95,16.849261
80.15681,83,16.950427
267.5033,234,16.967712
223.09793,184,16.977055
91.473206,99,17.022548
200.93195,176,17.036241
177.36389,137,17.058607
174.2114,147,17.114553
209.78891,162,17.165549
75.34892,86,17.236698
80.90768,92,17.259485
127.965614,99,17.316568
96.96985,83,17.386626
122.86417,107,17.429036
109.92594,113,17.462351
80.26768,92,17.488081
93.44027,93,17.516768
99.95057,89,17.546748
66.971794,80,17.559666
124.7125,108,17.594446
116.69031,90,17.635718
123.118355,95,18.807917
83.2067,92,18.829716
84.010925,83,18.840158
93.5511,84,18.892486
79.81759,91,18.917523
137.96333,116,18.943532
109.46282,102,18.978364
137.60178,106,19.020532
83.11039,94,19.049489
137.2058,106,19.071501
140.50757,120,19.122248
133.21735,103,19.176854
107.53543,95,19.188882
159.31395,135,19.230061
102.36625,87,19.255463
141.59276,118,19.274067
108.86484,101,19.312529
93.96946,89,19.337866
112.547485,87,19.381055
108.35618,102,19.416469
82.0574,93,19.443606
180.52322,151,19.457177
97.25562,105,19.499912
69.55708,84,19.524989
109.587,96,19.541881
194.11418,163,19.628473
107.1448,100,19.639098
79.12459,89,19.651861
142.36938,129,19.679193
110.40485,113,19.711836
134.90996,104,19.743037
164.0727,139,19.816567
112.90468,87,19.834652
168.7465,149,19.861591
105.17937,109,19.881944
114.12919,88,19.904617
100.14308,105,19.917893
189.1063,146,19.966641
164.94675,139,20.021018
111.877014,95,20.083804
144.06514,132,20.102168
153.4198,131,20.127096
101.91605,91,20.152184
92.98591,83,20.198233
175.92178,149,20.212566
260.31732,219,20.282663
235.59781,199,20.297924
119.386185,92,20.312757
132.3631,102,20.32565
121.87452,94,20.359407
99.930695,98,20.396792
123.42244,104,20.429392
176.5764,164,20.487006
78.052666,88,20.512668
107.77242,102,20.528644
