#{"t_start": 1762837761.107961, "env_id": "None"}
r,l,t
-281.69885,5,6.814342
-404.61133,5,6.814342
-302.9106,7,6.861075
-178.42981,10,6.903463
-166.18541,13,6.940115
-143.80797,14,6.95976
-413.7542,18,7.008097
-139.00385,10,7.04341
-250.93097,6,7.089076
-213.49307,6,7.150568
-192.14757,23,7.150568
-89.04185,27,7.19125
-412.46664,18,7.19125
-108.3086,23,7.238148
-158.04567,10,7.278308
-602.31165,35,7.278308
-346.8323,23,7.318948
-315.30746,45,7.346171
-162.82446,7,7.373855
-141.07246,16,7.40525
-129.04593,14,7.43655
-191.38312,21,7.468557
-191.10936,7,7.515667
-256.74408,25,7.554747
-205.82251,12,7.59503
-270.60263,21,7.642618
-459.346,28,7.685838
-167.58357,18,7.685838
-505.67496,18,7.721447
-415.94788,25,7.756579
-167.05222,10,7.756579
-198.85527,19,7.802137
-223.75517,6,7.831679
-232.00641,12,7.917215
-146.49887,11,7.954461
-292.78433,8,7.954461
-130.4818,14,7.989963
-158.44925,9,7.989963
-229.64464,32,8.050108
-215.9237,8,8.050108
-203.91183,10,8.085624
-178.92505,7,8.085624
-172.88345,21,8.118733
-238.2957,11,8.149163
-132.8861,11,8.196843
-323.56207,5,8.241404
-202.2202,6,8.241404
-401.69446,32,8.276029
-177.35628,8,8.309687
-241.6532,5,8.370981
-182.88133,8,8.424311
-128.05426,11,8.424311
-187.80917,8,8.457447
-129.15997,15,8.488465
-309.23285,5,8.538893
-237.07365,7,8.566293
-400.76132,5,8.613485
-103.79903,18,8.639202
-139.39957,10,8.640201
-256.8304,6,8.664508
-397.11633,14,8.693487
-330.62057,26,8.724366
-166.4954,8,8.75522
-201.6941,7,8.75522
-380.2111,24,8.785589
-285.47836,6,8.832817
-187.7151,12,8.832817
-209.20624,6,8.861925
-327.7952,6,8.916655
-177.50717,19,8.943878
-309.27133,26,8.984192
-303.2972,36,9.010263
-317.8124,6,9.065565
-202.91312,12,9.065565
-184.63252,20,9.065565
-234.97728,21,9.090881
-215.08997,15,9.126336
-177.63307,13,9.157391
-371.7434,39,9.204914
-116.42719,12,9.230807
-233.12018,38,9.230807
-190.08548,7,9.257492
-137.05412,12,9.301976
-338.04718,16,9.328148
-239.9953,18,9.353631
-268.64288,7,9.38475
-219.77583,7,9.38475
-251.76573,7,9.430269
-251.24515,7,9.49999
-167.2294,7,9.541696
-271.12277,15,9.579614
-80.947296,17,9.606839
-194.34926,8,9.606839
-180.95366,7,9.6523
-467.44327,26,9.6523
-236.25223,6,9.687573
-245.24702,21,9.68857
-168.8905,8,9.718611
-345.93655,43,9.741908
-328.08365,11,9.766605
-192.01111,10,9.806459
-192.62346,36,9.859757
-205.43007,7,9.903841
-171.6159,9,9.934145
-120.46454,12,9.934145
-194.27162,6,9.973725
-205.18663,13,9.973725
-219.3855,10,10.007612
-656.77026,25,10.057987
-221.58467,6,10.085011
-459.11588,26,10.120553
-130.69609,17,10.154913
-105.16199,18,10.154913
-273.03607,20,10.187724
-209.04048,10,10.187724
-120.34547,11,10.221624
-494.83603,19,10.221624
-223.56644,7,10.249501
-185.73181,7,10.281066
-212.47997,24,10.281066
-198.30826,6,10.303456
-340.9126,18,10.348979
-126.78475,13,10.375647
-197.66777,16,10.375647
-349.8608,6,10.375647
-149.92499,15,10.413098
-134.55635,15,10.441997
-229.55836,6,10.441997
-380.7945,14,10.475676
-165.30981,15,10.476682
-166.07,10,10.509794
-147.0669,12,10.554609
-182.82918,6,10.613046
-222.15285,7,10.639254
-231.92026,13,10.668615
-222.41068,9,10.704047
-197.24567,15,10.728564
-271.9037,5,10.774752
-321.89685,10,10.825044
-435.3915,31,10.850806
-292.04617,21,10.850806
-290.68015,26,10.876689
-252.56339,21,10.94038
-162.91895,7,10.94038
-189.96889,13,10.968664
-587.553,25,10.99988
-444.696,28,11.038385
-122.089905,13,11.072183
-351.35843,17,11.105427
-141.1455,9,11.105427
-360.12427,11,11.138248
-140.82109,10,11.175508
-119.33805,12,11.175508
-272.494,21,11.199397
-174.16452,11,11.2317
-210.73845,6,11.256469
-149.53073,10,11.256469
-329.29956,5,11.28716
-162.73676,13,11.322592
-202.03001,6,11.322592
-254.1885,6,11.346328
-278.3371,10,11.346328
-170.10324,17,11.400992
-179.44687,8,11.429119
-195.78764,6,11.45052
-153.61363,11,11.456306
-227.37689,6,11.482267
-461.81937,19,11.519733
-184.32845,7,11.558896
-187.99324,8,11.586281
-154.70085,11,11.616259
-199.61078,7,11.674553
-140.30583,9,11.729944
-243.41988,23,11.729944
-408.7201,19,11.761626
-222.55959,10,11.796422
-169.14406,17,11.841222
-419.35614,29,11.926429
-247.19043,6,11.966497
-408.48782,13,12.03618
-225.07242,13,12.038669
-280.47626,10,12.081421
-253.28743,6,12.081421
-569.5147,16,12.152916
-281.4474,20,12.152916
-482.67816,35,12.186422
-231.70705,6,12.186422
-226.12675,5,12.226661
-370.87253,11,12.276288
-164.8878,7,12.316387
-161.08553,13,12.374934
-211.32724,23,12.43864
-203.6245,8,12.43864
-107.09229,11,12.43864
-204.88077,6,12.462338
-163.20685,14,12.462338
-228.25603,6,12.488371
-290.33408,22,12.529871
-148.91476,8,12.573776
-143.83755,12,12.604553
-172.44183,9,12.631268
-140.08667,18,12.661438
-279.61334,6,12.696343
-136.36488,19,12.763684
-568.12274,19,12.764733
-185.25073,8,12.764733
-271.08472,22,12.798991
-294.75424,12,12.85686
-204.38898,6,12.85686
-206.19489,12,12.902721
-230.15883,8,12.938419
-243.80556,7,12.966473
-123.14085,14,12.986429
-248.71992,11,13.02175
-381.51202,5,13.051426
-244.6199,34,13.091408
-213.87646,10,13.126689
-234.4054,5,13.126689
-224.2417,7,13.154819
-149.80551,9,13.186593
-221.96652,17,13.249038
-246.56158,9,13.278288
-204.1256,8,13.306602
-106.803566,15,13.357725
-244.91263,18,13.389688
-310.06226,23,13.416292
-294.61377,9,13.456347
-133.62471,16,13.456347
-207.76749,7,13.481541
-294.6183,5,13.505636
-263.20435,6,13.556387
-111.34098,21,13.556387
-207.21468,9,13.591297
-229.20197,10,13.618992
-235.39168,5,13.652338
-188.50414,10,13.690271
-195.28265,9,13.730259
-215.23473,7,13.756686
-253.09819,19,13.816524
-236.6136,5,13.816524
-158.7785,10,13.850725
-353.56192,29,13.894936
-284.75882,37,13.947653
-199.40337,7,13.977895
-166.11932,8,14.002126
-256.19266,7,14.027646
-463.38046,33,14.052017
-130.10452,11,14.08154
-203.48412,6,14.141024
-269.4542,45,14.167782
-129.19258,10,14.167782
-321.399,6,14.2256
-463.3365,18,14.270677
-263.47015,22,14.302487
-123.313126,12,14.328656
-298.9397,5,14.36855
-319.7247,37,14.36855
-364.81104,16,14.395045
-246.39473,10,14.425311
-201.34369,6,14.513224
-215.28662,9,14.536804
-236.85121,36,14.572742
-111.97345,14,14.603642
-227.19217,6,14.637385
-334.3086,5,14.637385
-152.16716,14,14.668953
-234.06717,6,14.695081
-217.72964,6,14.738362
-186.12311,9,14.765409
-279.00006,6,14.792575
-525.00085,26,14.820435
-115.39904,10,14.868768
-247.40207,6,14.922355
-208.80612,6,14.94924
-416.8607,56,14.950248
-211.88359,7,14.983695
-153.54573,11,15.031645
-276.9892,6,15.05668
-260.55508,8,15.05668
-358.37143,25,15.107363
-240.77603,6,15.149121
-718.99994,45,15.226342
-139.1602,18,15.226342
-183.58838,8,15.276977
-134.67384,15,15.327312
-207.56482,8,15.327312
-113.58743,20,15.408857
-122.339134,13,15.440485
-187.5716,11,15.470655
-158.34212,13,15.523421
-238.82657,6,15.552379
-450.29764,45,15.584893
-406.4048,38,15.614751
-246.49333,25,15.663134
-269.72086,7,15.688129
-138.14114,8,15.723634
-190.5076,10,15.723634
-310.05338,23,15.723634
-288.3792,18,15.747556
-169.35709,8,15.79283
-124.90966,12,15.79283
-449.80856,5,15.79283
-312.9256,5,15.818928
-157.71405,8,15.853703
-170.15076,8,15.85471
-206.95787,12,15.888582
-225.64973,24,15.888582
-268.35706,6,15.92764
-222.57295,6,16.000054
-194.20064,10,16.000054
-243.00528,8,16.000054
-139.78935,9,16.041782
-313.6864,11,16.041782
-217.06828,15,16.071644
-187.36156,6,16.121869
-191.52075,8,16.156625
-162.93517,8,16.156625
-186.93935,8,16.196512
-265.4118,10,16.24157
-151.57321,10,16.24157
-325.11035,25,16.288457
-181.08401,7,16.328037
-297.18698,29,16.375303
-294.14243,5,16.375303
-291.73596,10,16.375303
-330.66888,5,16.408908
-261.11972,8,16.443751
-270.91992,5,16.487716
-275.58548,5,16.51647
-124.4703,11,16.546392
-124.897064,14,16.546392
-229.49965,8,16.578605
-169.65358,9,16.616348
-208.51465,6,16.643623
-272.23972,6,16.676472
-127.320076,12,16.706363
-288.22745,17,16.73233
-217.88582,18,16.771544
-152.4729,11,16.842613
-143.25632,11,16.869427
-255.04614,12,16.907404
-277.07355,7,16.950091
-188.54817,9,16.976351
-215.10477,25,17.001349
-228.43991,32,17.02915
-202.94275,7,17.02915
-329.20532,34,17.056861
-326.7443,29,17.084723
-192.15146,6,17.11073
-398.06326,30,17.154125
-132.41757,9,17.18521
-383.50974,10,17.235188
-181.22868,7,17.235188
-153.1517,8,17.235188
-239.94164,9,17.235188
-241.14436,6,17.235188
-183.24947,10,17.260279
-383.11676,5,17.300746
-247.1976,7,17.331242
-178.13663,8,17.356306
-260.4049,6,17.472473
-106.92104,18,17.539601
-180.1884,16,17.539601
-116.53156,12,17.598439
-119.946236,22,17.598439
-183.14145,20,17.630946
-195.63887,9,17.660476
-174.1927,7,17.706324
-132.92213,10,17.706324
-188.83864,28,17.737032
-176.62234,8,17.770468
-186.08777,9,17.833049
-379.49176,5,17.863981
-102.50373,18,17.891205
-138.64659,16,17.923487
-277.70044,9,17.96286
-128.79512,12,17.96286
-240.84592,35,17.993948
-212.72762,6,18.041043
-233.32639,6,18.074745
-328.57065,8,18.074745
-193.65457,12,18.100304
-566.61847,14,18.128267
-259.09518,5,18.160375
-251.65509,23,18.160375
-280.38187,5,18.204743
-773.51355,22,18.235581
-198.1021,6,18.263545
-286.86523,10,18.291014
-269.09344,6,18.333068
-128.60379,12,18.381607
-301.33276,8,18.441596
-209.06325,19,18.485393
-194.8469,9,18.531367
-172.04034,8,18.574592
-251.14336,15,18.628253
-524.88965,20,18.628253
-201.5368,39,18.667126
-436.9744,5,18.667126
-293.53418,5,18.701866
-222.08243,6,18.742381
-185.81067,13,18.77914
-407.86194,15,18.839336
-216.82982,10,18.924741
