#{"t_start": 1762758597.0535116, "env_id": "None"}
r,l,t
-288.49152,5,4.970067
-408.10663,5,4.971077
-233.67337,7,4.99573
-205.72083,10,5.024086
-148.47188,13,5.052263
-131.02116,15,5.073896
-546.1134,20,5.10601
-149.7931,10,5.10601
-133.3139,13,5.14692
-110.02755,22,5.170123
-159.33109,12,5.171131
-213.35194,22,5.197772
-162.1166,7,5.236112
-258.28583,7,5.255963
-615.0309,35,5.306176
-165.08621,14,5.327475
-189.66486,8,5.343688
-287.3055,43,5.365032
-385.00983,25,5.387486
-186.54485,7,5.411844
-126.01671,17,5.445024
-230.21997,7,5.487873
-98.59432,15,5.522203
-315.49377,39,5.538949
-338.37335,19,5.56705
-276.8454,6,5.608542
-396.34637,35,5.608542
-281.11176,9,5.65036
-319.80362,23,5.65036
-169.25714,19,5.676443
-168.4309,18,5.717642
-221.89572,5,5.748959
-318.5737,36,5.782103
-316.9668,7,5.807886
-267.8441,16,5.83179
-219.47664,17,5.851359
-118.11875,15,5.887083
-147.12404,9,5.887083
-146.41432,18,5.92705
-176.79124,9,5.971809
-190.50291,6,5.971809
-143.6349,29,5.994787
-146.73987,15,6.035271
-124.452965,10,6.056152
-227.10986,6,6.084322
-122.78442,20,6.128632
-654.80304,17,6.153462
-134.06381,15,6.175112
-485.80704,14,6.213334
-236.21353,5,6.233217
-404.4357,5,6.272197
-268.79166,10,6.303903
-266.77924,6,6.303903
-237.73792,19,6.327394
-448.592,16,6.366331
-107.61178,28,6.396928
-192.72491,7,6.43629
-194.82228,13,6.473368
-532.5039,20,6.523407
-149.42531,8,6.523407
-145.5264,14,6.561902
-548.43896,20,6.563425
-150.56993,20,6.585976
-372.31418,57,6.603076
-152.7786,8,6.633359
-459.63782,51,6.633359
-227.96114,7,6.652192
-220.73582,7,6.671744
-179.184,12,6.768277
-217.51399,10,6.768277
-191.50876,12,6.813451
-256.1878,11,6.863896
-195.13713,7,6.864439
-130.14786,9,6.864439
-483.71127,17,6.898194
-128.17606,12,6.917561
-118.89871,15,6.936528
-260.75436,33,6.956498
-266.69727,11,6.980165
-332.1805,5,7.006028
-169.11533,13,7.006028
-229.15184,7,7.028239
-424.18817,22,7.028239
-208.76176,15,7.051869
-175.69804,7,7.113943
-246.91908,7,7.152285
-86.38918,19,7.19215
-215.04544,16,7.19215
-110.04652,14,7.225228
-138.51361,16,7.225228
-152.86984,8,7.250754
-179.59293,8,7.271506
-248.18112,6,7.313166
-216.74443,7,7.335071
-188.52374,8,7.360917
-179.47653,8,7.376898
-274.1002,24,7.393921
-249.9178,5,7.415243
-205.73677,6,7.415243
-414.8569,15,7.436004
-228.8363,29,7.473203
-136.03589,9,7.504047
-211.1011,9,7.515936
-194.55765,7,7.546457
-327.9145,26,7.546457
-191.8765,17,7.579224
-232.31113,7,7.599346
-117.9821,19,7.624378
-707.4486,19,7.643295
-155.34645,8,7.681316
-156.14928,10,7.712249
-277.24274,12,7.756689
-229.18825,8,7.773876
-619.002,22,7.803408
-436.72922,37,7.803408
-112.386284,14,7.838093
-168.06012,8,7.856954
-148.81306,23,7.876279
-121.86022,31,7.876279
-156.40651,8,7.894141
-494.17297,13,7.916594
-248.73836,14,7.95033
-142.29149,9,7.992458
-152.36433,10,7.992458
-151.6579,10,7.992458
-126.22873,14,8.024276
-153.64499,12,8.051059
-354.95462,17,8.051059
-453.53802,45,8.066148
-232.94978,7,8.08738
-187.89772,10,8.113831
-235.64153,15,8.135257
-219.81017,7,8.135257
-179.97226,10,8.155468
-279.42075,6,8.155468
-216.39368,7,8.186162
-232.71288,6,8.205242
-299.20834,6,8.226153
-193.2042,6,8.226153
-231.35292,15,8.248056
-340.86838,22,8.264966
-302.81714,12,8.286289
-217.03029,6,8.306215
-230.07257,7,8.306215
-269.3252,5,8.359141
-199.16902,6,8.359141
-421.57724,26,8.381727
-212.79825,7,8.400892
-172.89124,14,8.423499
-116.03565,17,8.445499
-120.642815,21,8.470985
-191.39601,10,8.49429
-136.90407,13,8.514159
-241.72089,11,8.545668
-216.29453,6,8.545668
-143.0133,16,8.565642
-152.3809,27,8.584025
-206.37541,19,8.616333
-193.08255,8,8.63741
-391.80624,28,8.662382
-194.21959,16,8.686995
-211.85484,21,8.686995
-195.30463,6,8.706913
-183.40166,13,8.729969
-233.51439,5,8.763578
-199.50983,6,8.763578
-99.6557,18,8.763578
-175.0783,18,8.781999
-131.645,10,8.807003
-174.8361,10,8.826454
-207.821,11,8.853895
-383.29916,19,8.872314
-221.68774,10,8.890217
-239.45877,10,8.90715
-182.36176,11,8.938072
