#{"t_start": 1761539228.9088297, "env_id": "None"}
r,l,t
3.2344007,33,7.675777
12.392834,41,7.767944
10.849695,43,7.815973
5.9309993,44,7.862432
13.798563,46,7.91507
7.909959,46,7.91507
13.426535,47,7.951874
11.915138,52,8.029449
5.728541,36,8.247243
13.344273,49,8.288529
16.520765,48,8.366204
5.874257,45,8.407446
12.48114,46,8.449492
16.782232,47,8.449492
17.744812,51,8.490156
18.19565,52,8.569695
12.449802,47,8.755996
19.579037,53,8.801872
16.807102,48,8.876185
6.026612,44,8.876185
12.967512,47,8.908215
26.641293,54,9.005976
12.54336,46,9.0481
31.301376,61,9.101855
10.6017685,42,9.235899
16.562641,49,9.358536
15.554678,51,9.395831
23.819035,58,9.433461
16.04909,55,9.475965
1.1626592,40,9.507564
18.495216,48,9.556298
15.960039,50,9.61267
4.051587,37,9.708124
10.993088,44,10.029976
14.477745,54,10.136378
25.647099,55,10.234115
33.07824,67,10.277809
8.181428,54,10.336213
28.450363,65,10.381356
34.272556,67,10.381356
35.30157,66,10.585569
8.451286,44,10.797419
12.203993,44,10.967531
19.084784,55,11.01733
12.510825,50,11.057641
25.071663,59,11.146354
30.790634,62,11.207711
22.273521,54,11.325082
13.679169,46,11.325082
40.37844,74,11.356798
5.8295245,39,11.461701
3.9330568,39,11.54333
14.669566,47,11.57618
23.427029,57,11.7486
9.602459,43,11.7486
7.5551925,47,11.805585
43.940117,77,11.846119
12.877552,49,11.887172
14.033933,45,12.035833
22.49192,58,12.087115
7.013935,53,12.137362
13.948811,44,12.23721
8.373034,45,12.307777
22.044216,54,12.365091
22.259645,60,12.45746
37.195076,70,12.551376
16.448578,48,12.587615
21.853172,54,12.646043
-1.8495908,35,12.717553
10.686705,46,12.773332
20.236794,52,12.907271
5.7779465,36,12.976147
23.728226,52,13.036006
44.87795,85,13.036006
21.169235,57,13.172529
16.582565,48,13.267953
20.529057,55,13.267953
12.833298,47,13.328523
13.948236,46,13.487649
9.160589,43,13.546185
16.745934,50,13.648523
-0.64289236,38,13.706261
19.124018,53,13.76677
22.557594,57,13.960885
24.705406,57,13.960885
16.36637,56,14.015495
2.6478348,38,14.132124
8.839066,52,14.185819
19.76528,54,14.185819
3.86831,42,14.247346
15.960975,53,14.367814
8.93941,44,14.596228
27.126293,62,14.646771
7.177101,43,14.685134
0.06720805,33,14.729429
34.81044,66,14.766569
28.746405,69,14.846504
27.620132,60,14.895173
25.800114,63,14.962615
2.1286516,37,15.131469
10.1577,47,15.257771
20.168182,51,15.361763
17.605148,56,15.416176
18.711088,56,15.478373
22.715,52,15.538121
24.862553,51,15.625139
24.752043,62,15.713072
-1.5339932,36,15.817535
27.280943,61,15.958094
13.53845,43,16.076962
9.770383,43,16.167951
19.19003,53,16.233616
20.488846,59,16.292272
13.194195,42,16.292272
33.300343,70,16.396217
13.289928,52,16.673609
11.045809,43,16.725247
3.718946,38,16.830814
15.784605,54,16.886358
46.960545,86,16.943638
14.937431,58,17.016822
23.403448,62,17.05767
52.92456,95,17.227709
12.654536,45,17.379623
15.924906,49,17.427287
20.384937,52,17.470745
14.013165,46,17.530907
10.997061,47,17.618445
10.898413,45,17.686151
17.2147,54,17.793088
6.1853647,37,17.971128
20.89623,62,18.086254
5.738861,37,18.086254
10.700526,47,18.127254
16.511692,48,18.211803
6.9011364,45,18.284238
37.96759,71,18.405389
4.9895287,36,18.450642
19.203384,56,18.495981
13.854821,42,18.615495
2.889205,42,18.666027
9.861348,47,18.730891
15.422937,50,18.853702
2.7108707,44,18.855231
11.373571,42,19.029094
21.4024,50,19.117846
-1.5437813,38,19.181212
29.30809,67,19.318288
20.094349,52,19.377323
16.290031,47,19.377323
19.060957,51,19.482612
17.96864,54,19.535468
4.1123524,38,19.608068
21.392185,57,19.724639
15.608641,51,19.758653
10.968468,41,19.807891
4.346022,42,19.807891
-0.39357996,44,19.858011
8.135789,43,25.757983
8.927631,39,25.837709
13.338763,49,25.901787
11.854466,42,26.063565
0.44302177,37,26.106215
-2.4561481,34,26.215848
16.781937,54,26.215848
16.269861,51,26.27623
20.305935,56,26.35527
6.5269356,49,26.47662
10.124841,43,26.61334
16.623375,48,26.765185
37.134716,73,26.766315
11.531097,45,26.830363
25.760733,56,26.916085
32.252155,65,26.997523
40.9272,76,27.046189
17.262936,58,27.196139
-2.7651224,41,27.336983
28.22514,58,27.4152
13.011862,44,27.487436
7.381381,42,27.596226
32.447495,64,27.657788
