#{"t_start": 1761448841.537949, "env_id": "None"}
r,l,t
529.8192,1500,16.913903
-317.07047,1500,16.914948
1304.7537,1500,16.914948
512.5369,1500,16.914948
894.63226,1500,16.914948
-2129.8687,1500,16.914948
1217.018,1500,16.914948
-358.3653,1500,16.914948
1036.6061,1500,33.200903
-31.666359,1500,33.200903
616.8419,1500,33.200903
138.13332,1500,33.200903
799.80664,1500,33.201905
1240.5232,1500,33.201905
-453.27774,1500,33.201905
1023.1952,1500,33.201905
338.83224,1500,59.638491
-980.6308,1500,59.638491
-3319.6736,1500,59.638491
986.2379,1500,59.638491
-3813.3484,1500,59.638491
902.99207,1500,59.638491
874.6498,1500,59.638491
1192.0958,1500,59.638491
967.1777,1500,85.706576
1024.4651,1500,85.706576
-303.84268,1500,85.707592
-1149.6844,1500,85.707592
471.1805,1500,85.707592
-524.268,1500,85.707592
657.8616,1500,85.707592
660.8187,1500,85.707592
802.36115,1500,109.299685
218.55493,1500,109.299685
-695.39325,1500,109.299685
1178.9092,1500,109.299685
1388.1571,1500,109.299685
918.17365,1500,109.299685
1457.5115,1500,109.299685
1443.4775,1500,109.299685
-267.50488,1500,123.462364
355.3264,1500,123.462364
-431.51053,1500,123.462364
786.8594,1500,123.462364
1306.4302,1500,123.462364
-2776.7305,1500,123.462364
-824.02856,1500,123.462364
1471.7716,1500,123.462364
1404.2617,1500,174.001371
-4025.6287,1500,174.001371
-233.47234,1500,174.001371
1091.244,1500,174.001371
1476.2507,1500,174.001371
1386.0078,1500,174.001371
1207.4784,1500,174.001371
-206.02388,1500,174.001371
1480.4225,1500,188.297445
180.99542,1500,188.297445
1469.6414,1500,188.297445
1033.6033,1500,188.297445
1427.0972,1500,188.297445
-968.72955,1500,188.297445
414.75793,1500,188.297445
195.59335,1500,188.297445
884.4864,1500,208.832689
-316.1015,1500,208.832689
888.4672,1500,208.832689
1459.504,1500,208.832689
-51.966984,1500,208.832689
-506.64786,1500,208.832689
1431.8662,1500,208.832689
357.1498,1500,208.833635
1327.2654,1500,221.32102
1208.9747,1500,221.32102
1346.4326,1500,221.32102
251.9809,1500,221.32102
1490.1289,1500,221.32102
473.49905,1500,221.32102
1487.8228,1500,221.32102
-170.99428,1500,221.32102
1414.8462,1500,239.831842
1378.5188,1500,239.831842
1226.269,1500,239.831842
1115.8114,1500,239.831842
1328.0629,1500,239.831842
1123.7898,1500,239.831842
92.39223,1500,239.831842
1027.2303,1500,239.831842
386.73123,1500,254.856744
503.97775,1500,254.856744
1451.4409,1500,254.856744
1217.3434,1500,254.856744
437.7259,1500,254.856744
1331.1785,1500,254.856744
1498.7576,1500,254.856744
470.68973,1500,254.856744
-6126.8687,132,255.971261
-24863.838,234,256.820931
1294.0348,1500,279.919154
1445.4828,1500,279.919154
1460.5127,1500,279.919154
1014.5096,1500,279.919154
1402.5125,1500,279.919154
777.23157,1500,279.919154
255.76276,1500,280.983889
1411.4921,1500,281.816108
-21242.123,470,283.768621
-57019.0,1500,359.055768
1418.937,1500,359.056765
1464.6617,1500,359.056765
879.59784,1500,359.056765
-276.48438,1500,359.056765
943.24725,1500,360.199134
-1586.6436,1500,361.03546
-2829.5725,1500,363.126318
1473.0771,1500,380.715219
886.75653,1500,380.715219
532.384,1500,380.715219
1496.5978,1500,380.715219
1075.3456,1500,380.715219
1424.6774,1500,388.856167
1148.369,1500,389.495795
-8619.349,1500,391.208768
-11497.936,331,392.045051
722.5548,1500,405.267459
1421.0208,1500,405.267813
772.8395,1500,405.267813
-31787.072,1500,405.267813
1159.2827,1500,405.267813
1261.6698,1500,406.541044
-1010.85535,1500,409.92882
-6397.805,546,410.817513
1490.0128,1500,411.067014
387.9583,1500,424.037583
-865.4561,1500,424.038103
-286.0486,1500,424.038103
407.0193,1500,424.038103
1121.0159,1500,433.341372
-581.2175,1500,436.108968
996.9624,1500,436.893268
1294.1611,1500,437.146905
-14185.394,598,438.80202
1438.4164,1500,449.281281
1442.0146,1500,449.281281
1456.2487,1500,449.281281
-190.51692,1500,449.281281
-1210.3257,1500,453.658239
1493.2928,1500,454.324439
-15171.005,1500,454.545217
1290.4343,1500,460.896447
1388.0297,1500,466.649458
172.34772,1500,466.649458
1474.5797,1500,466.649458
1488.5305,1500,466.650553
1102.3872,1500,478.260713
