#{"t_start": 1761507197.646183, "env_id": "None"}
r,l,t
-561.0464,99,4.594615
-4564.4595,135,4.758617
-2392.9727,154,4.877822
-2181.3381,169,4.969307
-1469.4915,181,5.047989
-4338.161,222,5.319167
-1201.6135,265,6.417938
-11579.702,460,6.492908
-5413.002,327,6.515633
-9771.002,301,6.568339
-19765.895,370,6.869342
-16064.062,304,6.895813
-3721.9656,449,7.063834
-806.0056,140,7.315229
-6084.588,605,7.347597
-2182.002,191,7.486521
-2961.1094,151,7.664771
-7037.679,122,7.879131
-4145.22,299,8.028825
-6851.153,180,8.109564
-4444.906,161,8.380685
-9323.58,204,8.403243
-6849.6426,82,8.425115
-6762.3013,392,8.757225
-2728.634,375,8.79563
-290.2978,487,8.95165
-471.84503,192,9.0269
-4323.2764,251,9.065566
-579.6485,135,13.602309
-5928.275,311,13.89427
-7191.0864,314,13.962516
-369.80435,188,13.997736
-1305.0455,333,14.061989
-10573.493,204,14.649348
-7237.704,422,14.842352
-10741.547,367,14.897361
-11.298576,201,14.928983
-18428.266,493,15.154223
-1910.3606,323,15.477766
-3924.491,195,15.531701
-1296.2574,325,15.558684
-2621.3584,190,15.731329
-5789.2266,314,16.128858
-2946.2507,251,16.158719
-508.18668,188,16.194052
-1207.5076,164,16.516281
-950.879,156,16.544744
-6884.4976,360,16.582633
-11770.097,769,16.744523
-10056.887,276,16.76395
-15234.81,400,16.79369
-34509.26,682,16.972247
-19357.857,587,20.464192
-1286.8856,283,20.609312
-11402.88,194,20.678658
-470.1492,248,20.883541
-2983.7817,350,20.911618
-1005.3146,133,21.092203
-2232.014,455,21.310335
-3094.817,309,21.414594
-1211.6532,225,21.526452
-18674.555,315,21.675927
-504.23334,196,21.710649
-2961.5212,155,21.775549
-308.7297,135,22.19552
-1091.1616,170,22.23424
-2457.5667,145,22.314433
-10849.215,379,22.363913
-1426.5992,187,22.394016
-18659.934,652,22.407088
-6733.9395,255,22.428452
-1824.6663,283,22.44413
-6184.218,102,22.639876
-6901.4478,116,22.662086
-2244.4343,208,22.760565
-3401.5698,94,22.865266
-651.7267,254,22.959688
-361.40002,301,22.959688
-28547.81,237,22.980394
-4022.0537,296,23.010783
-2076.2751,77,23.127545
-4.136342,34,23.212498
-841.344,125,23.243717
-14075.279,255,23.344549
-21423.016,410,23.361346
-6477.022,219,23.390029
-1250.2313,104,23.460982
-305.83902,216,23.489216
-39.79074,59,23.509162
-2650.947,222,23.553069
-28521.982,425,26.48419
-2054.6755,256,26.798923
-986.44116,134,27.044641
-9200.526,330,27.48344
-314.3963,120,27.512309
-25925.92,390,27.594344
-8603.768,193,27.626631
-9419.47,404,27.830543
-3245.626,529,28.102318
-5848.4863,112,28.258028
112.39075,168,28.295139
-6035.4688,175,28.314358
-1170.1459,225,28.44495
-17099.18,535,28.471823
-423.0633,51,28.533324
-11608.601,609,28.694127
-437.4581,161,28.800629
-1560.8882,257,29.346536
-22.886847,171,29.392635
-5492.1006,281,29.450386
-4609.635,479,29.489239
-9594.137,280,29.645096
-10235.868,289,29.659057
-2695.0686,234,29.793334
-772.5006,112,29.960504
-122.168724,92,30.025857
-3929.9473,174,30.407203
-2610.683,266,30.476504
151.56178,208,32.19179
-496.89526,155,32.227519
-784.71313,62,32.445233
-4802.77,374,32.524413
-12773.95,418,32.642052
-7144.841,292,32.706551
-159.29285,95,33.072925
-781.9006,724,33.092734
-4694.9287,150,33.131668
-15765.249,249,33.248956
-17359.197,320,33.282351
-442.21973,222,33.542558
-4961.49,386,33.728209
-2205.9783,145,33.80353
-1658.3733,127,34.154919
-1128.2761,86,34.17926
-4738.1406,369,34.379671
-4197.34,386,34.809752
-7596.1514,357,34.825957
4.4101124,245,34.861573
-3025.0447,380,34.925908
-11793.349,224,35.059305
-2088.1506,468,35.116911
-5599.652,106,35.27799
-4787.3965,146,35.442653
-4128.0317,219,35.775052
-1411.1359,189,35.867139
-2751.1997,206,35.887144
-1318.7659,173,36.110936
-6690.595,247,36.242596
-16592.816,534,36.313459
-31054.666,503,38.859598
-3415.1824,140,38.897571
-2946.1057,180,38.941321
-4195.745,80,39.006511
-180.31967,95,39.019309
-749.2258,190,39.159229
-19272.668,545,39.227569
-616.46985,162,39.265733
-1556.1738,169,39.315537
-14451.7705,313,39.327817
-4411.281,176,39.41921
-71.427704,58,39.445334
-3518.4805,172,39.749946
-54.87866,75,40.028189
-6043.13,214,40.128852
-4813.405,72,40.309088
-4356.301,410,40.439573
-3720.0493,310,40.466477
-4692.4062,424,40.528062
-10619.163,289,40.582707
-5525.966,338,40.72572
-4170.8296,332,40.814115
-10781.354,164,40.891905
-133.66014,91,41.004328
-5753.552,143,41.009271
-1198.4462,131,41.259054
-1649.4567,212,41.366403
-3017.7363,148,41.411288
-5707.8525,160,41.627824
-2454.0024,313,41.785132
-5196.1655,237,41.909012
-98.54724,186,41.977578
-3543.9814,222,42.245857
-10049.4,390,42.412271
-1200.5109,177,42.612294
-2166.692,232,42.695437
-15876.433,373,45.828263
-4520.969,140,46.27779
-2428.717,208,46.296484
-4027.6108,277,46.412602
-17965.842,276,46.783679
-46201.95,876,47.143071
-9860.562,242,47.315368
-33.881725,84,47.51108
-14139.03,290,47.547011
-3497.9688,288,47.664449
-9468.428,659,47.741686
-3051.604,81,47.962938
-3697.3552,788,48.012803
-4928.2935,502,48.103362
-9666.779,98,48.287878
-3780.6934,203,48.336699
101.6221,167,48.395661
-3598.1724,246,48.760025
-2959.0933,463,48.85004
-2233.4192,240,48.994652
-135.13385,209,49.148819
-5064.295,148,49.343576
-8310.065,221,49.66728
-764.2983,195,49.717856
-11275.43,424,49.77769
-197.38907,456,49.80292
-435.9488,107,53.02716
-6090.1953,197,53.02716
-5214.1514,484,53.068553
-2320.4126,292,53.127433
-3717.9397,181,53.260873
-5290.2217,551,53.291422
-1153.2906,208,53.314385
-6316.7783,256,53.460046
-1322.4116,159,53.526886
-16781.225,244,53.632914
-1032.2921,217,53.794255
-315.71585,155,53.819345
-3692.5117,225,53.848811
-1461.9667,216,54.016944
-852.292,130,54.112422
-14761.532,142,54.132554
-5819.7573,82,54.214473
-36075.004,537,54.331866
-65.16797,454,54.34879
-4862.7993,113,54.395739
-4548.5947,84,54.609965
-13220.132,637,54.650559
