#{"t_start": 1761314279.3672764, "env_id": "None"}
r,l,t
-293.3286,1500,6.106058
-828.4749,1500,6.106058
-877.2021,1500,6.106058
-1105.3044,1500,6.106058
-214.62404,1500,6.106058
15.929637,1500,6.106058
-672.7138,1500,6.106058
-54.85093,1500,6.106058
-1351.6683,1040,8.401308
-212.84428,1500,9.033973
256.13205,1500,9.033973
-71.54186,1500,9.033973
151.77544,1500,9.033973
-298.0106,1500,9.033973
72.7808,1500,9.033973
-251.07422,1500,9.033973
-963.2993,875,11.068896
-56.228012,1500,11.296134
-443.844,1500,12.772317
-226.46698,1500,12.772317
-607.682,1500,12.772317
-29.730433,1500,12.772317
-9335.325,1500,12.772317
199.09724,1500,12.772317
-307.71573,1500,14.823488
162.21057,1500,15.067799
-1122.59,1500,15.783099
10.932665,1500,15.783099
-244.64946,1500,15.783099
-107.5248,1500,15.783099
-520.34436,1500,15.783099
-357.68353,1500,15.783099
294.96268,1500,18.101171
-117.608665,1500,18.354152
19.326042,1500,20.028193
298.3057,1500,20.028193
-694.38965,1500,20.028193
-114.27913,1500,20.028193
-318.74222,1500,20.028193
-112.798225,1500,20.028193
-317.00598,1500,21.953109
-64.37098,1500,22.200094
-809.89264,1500,22.914325
24.304993,1500,22.914325
50.410366,1500,22.914325
-180.59363,1500,22.914325
87.69234,1500,22.914325
-77.54122,1500,22.914325
-1790.8235,1500,24.874979
-63.84927,1500,34.487427
275.4697,1500,36.051874
-115.98663,1500,36.051874
234.95506,1500,36.051874
60.92822,1500,36.051874
74.41688,1500,36.051874
47.03811,1500,36.051874
-155.34122,1500,38.016331
-341.2525,1500,38.247211
-38324.68,1431,38.76565
-11750.2705,1500,38.886259
-125.28203,1500,38.886259
-1303.6295,1500,38.886259
-17.649805,1500,38.886259
-672.35004,1500,38.886259
-14718.798,868,40.944092
-623.12555,1500,40.963371
172.22362,1500,41.251714
-6467.39,206,41.325436
48.7227,1500,42.645763
-4071.0662,1500,42.744441
166.47281,1500,42.744441
-1040.9753,1500,42.744441
-998.9715,1500,42.744441
13.164277,1500,44.764858
-108.20326,1500,44.979981
-7713.9585,1500,45.040248
-1084.5212,1500,45.491548
-10554.359,1500,45.609722
-865.1333,1500,45.609722
-293.79645,1500,45.610837
-18804.355,1500,45.610837
-587.16907,1019,47.282555
-654.6177,821,47.623665
76.00339,1500,47.71493
83.91505,1500,47.99118
-1094.3186,1500,49.296465
-91.53172,1500,49.413385
-41.409145,1500,49.413385
-3.096186,1500,49.413385
-347.6993,1500,50.209682
98.69675,1500,50.564182
-1319.9548,1500,50.64678
194.59769,1500,51.76592
214.95126,1500,52.279163
203.20218,1500,52.40698
-331.10315,1500,52.40698
-67.350235,1500,52.40698
-404.4813,1500,53.949218
-83.797966,1500,54.304193
-200.12837,1500,54.392877
-298.0303,1500,54.687584
8.014982,1500,55.153134
-122.34802,1500,56.051545
-2.702229,1500,56.051545
-49.248444,1500,56.051545
257.80658,1500,65.181047
274.68634,1500,65.606796
-967.5475,1500,65.704081
-1295.9012,1500,66.837391
-2468.7546,1284,67.24104
-127.35736,1500,67.461267
165.42332,1500,67.569209
-95.64217,1500,67.569209
-58.193844,1500,69.169638
-525.7555,1500,69.554175
-147.28918,1500,69.637
40.047913,1500,69.941935
-1392.2627,1500,70.278515
269.33353,1500,70.486656
-1570.403,1500,70.598028
-12.328811,1500,70.598028
-64.86156,1500,72.195524
-241.98466,1500,72.607584
-896.6816,1500,72.702607
64.02866,1500,73.755173
235.69687,1500,74.067352
-1157.4463,1500,74.286896
-83.71065,1500,74.398391
206.97263,1500,74.399388
-276.78818,1500,75.174865
-2077.9766,1500,76.462928
-30.599228,1500,76.536942
-87.91608,1500,76.849153
147.77606,1500,77.143129
141.23837,1500,77.385398
149.64572,1500,77.51939
178.81212,1500,77.51939
69.34644,1500,79.175894
-423.79608,1175,79.450594
120.24466,1500,79.558704
-11.456901,1500,79.644649
79.28276,1500,81.05814
-454.79846,1500,81.25551
38.511223,1500,81.35884
-1028.0503,1500,81.35884
-575.1231,984,81.848157
-1600.0566,1500,82.137338
-429.42957,1500,83.30084
-61.451458,1500,83.423827
115.30016,1500,84.056967
-447.06638,1500,84.270091
136.5292,1500,84.41462
-111.78059,1500,84.41462
299.27496,1500,85.765767
-22025.533,582,85.784128
118.287766,1500,86.069308
-169.68442,1500,86.331212
-1487.4875,1500,86.449367
-724.0895,1500,88.224826
-76.04576,1500,88.333326
-104.035706,1500,88.333326
245.93011,1500,97.139876
128.24031,1500,97.159157
5.48412,1500,97.425708
7.2431846,1500,98.622301
-69.371475,1500,98.72842
-1375.8838,1500,99.56302
-535.0508,1500,99.672698
-109.482956,1500,99.672698
-2652.7085,1500,101.004778
5.261413,1500,101.024493
188.60172,1500,101.311844
-319.6686,1500,101.57796
