#{"t_start": 1762832500.8155005, "env_id": "None"}
r,l,t
0.802614,51,5.92527
-4.055292,52,5.941634
28.026327,68,6.004148
20.840057,69,6.024798
24.560793,72,6.049847
20.684935,73,6.062437
31.391962,86,6.126856
36.23162,88,6.144045
-8.134967,44,6.178508
-3.0433507,47,6.259168
5.682089,53,6.279976
23.503242,72,6.293264
14.625966,60,6.319222
19.50047,63,6.353112
17.268047,66,6.404344
21.55703,68,6.429779
17.63891,64,6.459582
7.379669,53,6.500825
10.529355,60,6.537461
28.002258,68,6.58529
10.495155,62,6.609427
30.439995,71,6.629172
8.385936,63,6.69467
13.18817,60,6.706916
22.55923,62,6.727331
0.55563605,46,6.776488
19.61838,65,6.807644
21.743753,71,6.817375
23.149645,64,6.865602
0.41346297,49,6.88573
39.103523,84,6.941402
11.413876,61,6.941402
24.434288,69,7.005461
25.07095,65,7.043973
2.806393,51,7.055556
8.787764,60,7.093543
60.779045,113,7.120316
42.84195,92,7.156044
5.91272,55,7.168831
22.407743,67,7.215453
14.436505,56,7.27818
15.323481,68,7.312165
30.460556,75,7.386517
25.792236,71,7.417397
59.704475,103,7.430619
13.698786,60,7.44741
32.80002,86,7.466012
58.62547,108,7.570433
6.40113,53,7.594451
24.92645,73,7.612668
7.7326565,47,7.653161
49.503296,96,7.689609
24.233706,66,7.736982
32.59696,72,7.762521
9.57691,52,7.848475
27.311666,65,7.875368
66.65961,110,7.928985
17.79858,72,7.955675
26.238811,67,8.001117
39.497826,85,8.001117
10.854277,51,8.051369
71.66714,118,8.104753
45.19182,98,8.453574
-11.33216,42,8.501828
30.510172,75,8.530359
6.8749623,57,8.57636
46.864586,97,8.745067
37.675625,85,8.777824
9.213954,51,8.801699
29.510496,77,8.825772
10.739376,56,8.867275
42.717392,87,8.925441
44.75435,88,8.99145
0.8910031,48,9.035395
3.6523225,61,9.050083
38.66643,93,9.066886
14.262434,64,9.087995
26.017908,69,9.127735
13.480756,61,9.153378
24.934387,66,9.211868
-4.2360845,44,9.247211
8.849894,51,9.267407
27.321941,76,9.331321
-0.24105223,48,9.391404
14.095082,60,9.42465
26.546213,70,9.449783
-7.6603155,42,9.492285
1.8504381,52,9.520571
6.4378843,61,9.594965
68.76967,112,9.617167
0.17528526,54,9.680723
17.25584,65,9.688798
12.55184,55,9.723298
-5.3348827,45,9.723298
34.41112,71,9.751147
5.903779,51,9.778057
1.2290002,49,9.838409
27.432785,75,9.938606
11.195637,58,9.959805
11.484324,57,9.999115
12.916749,65,10.01311
12.827858,60,10.045725
30.896566,76,10.069732
35.98968,83,10.090014
7.374805,61,10.126613
12.531806,53,10.175153
-4.3405786,43,10.243776
-0.32743436,49,10.243776
7.1890454,57,10.261862
27.491606,72,10.289973
-2.196753,48,10.289973
17.313152,65,10.306428
7.243638,55,10.371379
4.0329823,54,10.458138
7.101525,50,10.490929
6.899903,56,10.505766
23.15031,73,10.505766
4.6320324,51,10.505766
12.178639,60,10.524327
12.435481,63,10.5684
11.658612,59,10.615281
0.85009336,50,3014.760863
8.581988,56,3014.90294
10.413961,52,3014.999359
18.993208,66,3015.124429
17.156,64,3015.125428
27.22952,71,3015.30956
-0.40301228,53,3015.367154
33.234726,75,3015.460787
0.7869646,57,3015.584882
21.060078,61,3015.631398
3.5446904,51,3015.722824
8.479678,57,3015.722824
36.46892,82,3015.799925
30.253386,73,3015.830406
9.448295,50,3015.830406
12.181098,57,3016.027996
48.640053,102,3016.046973
27.656553,75,3016.075089
12.710025,62,3016.102545
37.32684,86,3016.18335
36.10751,76,3016.268985
31.263372,76,3016.268985
12.562207,53,3016.362904
-1.7916611,49,3016.383718
13.712988,58,3016.419214
57.143208,109,3016.466331
31.76648,70,3016.523573
11.5558605,59,3016.564823
12.858834,65,3016.679298
11.625797,56,3016.762206
3.9042904,54,3016.796601
37.26738,80,3016.929478
22.012917,65,3016.957527
28.28129,70,3017.023081
60.65999,117,3017.056629
11.729906,55,3017.086754
46.896317,91,3017.086754
1.0691454,51,3017.150701
5.053973,58,3017.199315
15.048958,58,3017.38734
1.6883286,50,3017.411716
-1.8214524,48,3017.445227
21.666908,72,3017.478984
0.74267703,46,3017.513911
18.071934,61,3017.5518
8.851829,53,3017.595696
34.530865,77,3017.646192
8.791038,59,3017.776742
4.338778,56,3017.819713
12.332551,58,3017.899065
30.158274,72,3017.916093
55.691143,101,3018.061363
50.659813,94,3018.107592
46.862156,88,3018.142088
35.753475,83,3018.184122
21.612045,68,3018.245672
8.662392,53,3018.290703
27.022024,68,3018.368649
34.95208,86,3018.427999
1.4324657,57,3018.48527
7.418593,57,3018.546709
32.051277,73,3018.64623
10.708942,59,3018.700087
33.831894,90,3018.795644
10.019777,60,3018.795644
3.6404061,58,3018.838896
2.7802145,52,3018.863648
43.551357,86,3018.892236
6.2745833,51,3018.921562
15.399954,58,3019.403512
8.699025,52,3019.403512
17.386524,61,3019.513668
41.085983,86,3019.513668
57.466507,99,3019.568505
31.19153,76,3019.598595
37.491917,80,3019.598595
38.060333,83,3019.660782
9.367191,55,3019.781227
18.906347,60,3019.870183
10.834915,52,3019.896195
30.606524,75,3019.91727
31.306509,79,3020.017321
38.37701,81,3020.078975
-3.9120898,52,3020.13566
42.325912,89,3020.198828
45.043118,88,3020.261304
-6.0594296,46,3020.281851
1.5796212,49,3020.307209
12.453022,52,3020.3394
-2.4932115,46,3020.473195
24.776617,68,3020.534348
-3.5304813,43,3020.601895
14.592756,59,3020.671561
1.3982843,54,3020.732743
16.138992,60,3020.835632
4.007966,58,3020.835632
43.56445,88,3020.891307
2.1844776,45,3021.117161
18.235256,69,3021.166058
31.60948,73,3021.245112
24.679964,71,3021.274307
23.711166,75,3021.311904
16.430979,63,3021.34257
7.5650206,62,3021.382924
32.99093,75,3021.430278
9.673403,57,3021.531278
-0.68602943,52,3021.571375
20.11603,68,3021.599571
5.5535607,51,3021.657743
8.308438,52,3021.657743
5.2037854,54,3021.69813
25.75355,66,3021.828626
-2.2104895,48,3021.882962
66.05674,110,3021.972515
25.806408,69,3022.012764
1.8661687,52,3022.038038
20.463915,71,3022.106693
24.580303,79,3022.195331
5.566665,55,3022.231655
27.14514,75,3022.253373
-4.3850965,47,3022.339196
17.246395,67,3022.386381
15.328919,56,3022.413582
20.193563,70,3026.102771
29.376745,81,3026.132797
14.625498,62,3026.230403
-1.2167144,45,3026.285439
27.10142,78,3026.35174
39.789265,86,3026.430725
3.4191854,48,3026.520051
39.377304,84,3026.554723
9.012511,58,3026.595166
42.150887,91,3026.633495
2.4688232,52,3026.668029
21.61754,66,3026.764342
21.934097,68,3026.828887
-2.4735205,56,3026.828887
4.835533,47,3026.929245
-1.9216337,54,3027.006579
40.05592,85,3027.088377
56.180973,98,3027.146527
36.95892,92,3027.195952
26.058392,73,3027.222264
3.3182127,52,3027.222264
25.54066,72,3027.280221
34.573097,77,3027.318341
21.419958,68,3027.40093
10.37284,56,3027.445955
6.557202,54,3027.501232
6.267859,49,3027.533334
10.533979,69,3027.633501
15.820556,63,3027.667475
29.590603,81,3027.732968
33.494312,77,3027.801425
14.337252,59,3027.882745
36.297382,82,3027.934127
40.737637,90,3028.015492
34.1273,79,3028.050859
14.922211,64,3028.085368
3.8550315,54,3028.11995
23.210636,71,3028.197707
6.410895,52,3028.197707
13.236407,60,3028.331092
1.9611773,54,3028.438363
23.620577,67,3028.515839
17.568459,62,3028.538454
-1.3674408,51,3028.56566
17.307291,59,3028.56566
24.782753,65,3028.628485
23.619335,66,3028.745818
81.6229,126,3028.788447
18.390717,60,3028.819931
5.645294,52,3028.846699
7.202755,54,3028.875903
9.925049,61,3028.912204
27.218695,77,3028.990799
17.961224,62,3028.990799
13.389752,54,3029.081193
20.185278,58,3029.127854
16.364248,61,3029.179895
46.92642,92,3029.241872
34.25048,79,3029.267692
16.26416,58,3029.291385
28.262934,76,3029.313215
23.211868,64,3029.346624
12.9446745,55,3029.417347
0.70819354,46,3029.461262
29.37918,67,3029.523161
12.875401,58,3029.58385
12.870196,56,3029.611772
22.239485,66,3029.653534
10.548697,57,3029.653534
23.017763,66,3029.686381
6.7079167,48,3029.708412
5.977923,52,3029.81749
0.51702106,47,3029.881177
32.72894,83,3029.912552
16.056532,59,3029.933536
-8.411293,46,3029.958209
12.749308,65,3030.036237
10.24448,59,3030.147619
36.0899,83,3030.147619
2.0260072,48,3030.207654
