#{"t_start": 1761278570.7664802, "env_id": "None"}
r,l,t
142.48207,198,2.973656
147.44247,220,3.052758
167.30646,234,3.105495
199.17868,238,3.136131
195.8166,238,3.136131
196.73181,249,3.190511
261.84955,278,3.300236
242.38174,285,3.354183
119.02885,200,3.783897
149.80539,205,3.947665
181.5144,229,3.998733
171.22327,213,4.063988
197.17108,230,4.093887
190.23563,232,4.114215
191.64734,245,4.239901
175.07208,240,4.255615
184.19418,221,4.541034
125.07492,191,4.591331
145.3094,218,4.711266
139.56589,197,4.711266
149.40747,203,4.733595
141.15251,217,4.772693
143.69904,217,4.976407
185.01852,222,5.001949
151.13254,212,5.262062
200.0168,251,5.348789
129.12369,192,5.362931
161.52148,211,5.399827
178.01315,236,5.494049
240.26097,276,5.65558
172.9516,226,5.75185
193.64363,247,5.822101
184.15181,231,7.926572
179.62169,218,7.966567
189.42233,225,8.010351
172.08925,214,8.049476
244.1663,265,8.096062
194.36658,247,8.214792
181.85394,231,8.244864
219.21759,274,8.378819
165.05397,235,8.483993
116.54397,197,8.53844
192.4964,248,8.559639
188.66447,249,8.640558
156.2773,205,8.72385
150.53766,220,8.755449
147.27464,200,8.850529
366.1729,387,8.925029
144.03554,217,9.037089
162.36691,215,9.091002
179.53212,218,9.122838
169.40332,217,9.191752
214.46709,243,9.345086
154.78256,207,9.380002
227.4462,265,9.39482
124.17539,188,9.421081
137.33116,196,9.528749
162.52928,207,9.611431
210.95125,248,9.762989
205.19891,264,9.861167
156.21797,214,9.932786
155.15662,209,9.974724
185.094,223,9.997735
126.08841,190,10.0491
198.35123,260,10.101012
139.47319,197,10.144592
164.39159,215,10.273803
117.544365,199,10.347738
165.68538,217,11.781761
168.23994,211,11.83374
147.51338,220,11.859431
127.036804,192,11.933692
180.90903,221,11.967977
199.94453,250,12.087507
123.740875,186,12.155603
158.3125,227,12.191819
158.85773,217,12.334947
146.30942,199,12.348882
128.32503,193,12.362145
179.67586,224,12.382766
204.35378,256,12.421299
167.04074,210,12.539841
148.84032,200,12.592175
164.13518,222,12.619216
148.96983,219,12.763977
128.39072,207,12.790916
188.3569,242,12.883676
215.60083,263,12.946105
220.01843,275,13.01644
151.857,207,13.086193
116.03802,196,13.155264
172.73726,214,13.18433
138.44527,197,13.32936
120.35103,201,13.396016
115.702644,197,13.418878
149.24382,208,13.481207
107.20125,192,13.496649
224.89877,261,13.511586
173.3838,230,13.633998
181.07802,237,13.668687
137.82468,198,13.808494
195.82568,241,13.819862
133.68477,211,13.932398
173.43996,218,13.96172
164.15523,232,13.998574
243.40814,274,14.020265
177.99788,241,15.534064
167.51111,234,15.571944
154.55125,206,15.696748
167.1649,210,15.714741
157.94656,211,15.810984
157.05658,225,15.885402
201.17297,233,15.949915
181.62418,245,15.977412
136.74414,200,16.05698
204.55316,256,16.203236
146.5737,208,16.240502
151.70836,223,16.277224
147.1215,203,16.337705
164.03615,233,16.504086
215.44363,263,16.520548
209.81502,252,16.572619
204.40157,262,16.684742
136.20253,195,16.767139
194.96921,229,16.803571
178.4887,236,16.851253
114.26747,195,17.017094
146.36903,202,17.042045
252.06253,293,17.090004
155.57072,224,17.237461
214.81021,271,17.256049
166.54787,217,17.289011
171.34047,213,17.315618
182.47574,228,17.392338
143.88655,196,17.496668
153.64243,208,17.536255
194.61351,229,17.561279
171.72623,214,17.7028
118.571045,199,17.717086
166.2956,209,17.731139
181.80318,219,17.825106
277.55707,311,19.195097
120.30022,188,19.225107
193.30455,227,19.245213
145.14565,221,19.286106
144.7208,198,19.413723
213.95958,254,19.511841
289.59906,311,19.611135
134.11722,209,19.64486
173.6671,214,19.691281
242.92337,291,19.705547
204.66765,262,19.755589
223.77267,278,19.777044
183.46053,220,19.953873
149.97433,203,20.059567
195.68913,240,20.233554
193.43378,244,20.278317
177.81696,242,20.318612
210.80377,262,20.365861
205.815,243,20.388161
197.63058,258,20.415545
143.50868,216,20.454564
141.06143,214,20.521081
170.82883,211,20.668544
126.441986,190,20.706534
181.44322,220,20.734794
177.96227,218,20.810086
166.84045,216,20.828915
173.3773,217,20.862203
172.45715,219,20.902636
151.20073,223,20.965036
122.04345,186,21.079727
166.88065,210,21.116439
173.93738,215,21.182514
144.80434,197,21.239193
119.93412,186,21.287545
168.8841,219,21.301651
181.79866,245,21.380758
178.5616,236,22.837776
168.8434,211,22.940941
167.0933,210,23.00503
208.05591,266,23.049754
130.93628,196,23.08689
133.95636,211,23.131653
192.69101,241,23.182032
141.50612,214,23.261025
152.8758,224,23.357263
175.32236,216,23.428222
162.38203,215,23.521343
172.78299,219,23.565377
151.57297,205,23.565762
243.33163,264,23.608406
170.68616,211,23.621651
156.30678,227,23.703581
171.98973,212,23.786682
142.33846,198,23.842022
147.57669,203,24.00154
201.3996,244,24.054608
176.85245,216,24.078882
188.35382,225,24.102944
202.91434,246,24.12364
163.05624,209,24.188017
197.69038,241,24.353829
118.88542,184,24.379096
253.89963,301,24.418071
168.534,217,24.487388
153.3654,204,24.520791
177.04848,216,24.546848
172.51984,238,24.58749
146.06801,199,24.60296
156.93936,205,24.785797
156.4383,213,24.828461
204.69836,247,24.930488
172.63716,219,26.32261
174.53584,223,26.352754
149.78151,205,26.378219
155.93918,210,26.391962
272.316,315,26.545249
118.487274,199,26.569149
155.00713,209,26.630076
139.06853,203,26.721195
148.7809,220,26.806929
154.34543,225,26.82267
235.01459,259,26.861518
223.32358,270,26.950872
178.74594,243,27.139083
231.94699,256,27.188896
233.67938,257,27.249877
152.38358,210,27.279468
116.10033,198,27.386955
150.42288,220,27.446517
176.14473,216,27.507072
213.29784,263,27.56381
139.65671,201,27.68261
121.917816,189,27.722663
231.28035,263,27.82603
190.80722,226,27.887653
166.28705,222,27.967303
152.08984,202,28.002926
137.64267,201,28.050254
230.63017,275,28.050254
179.6964,243,28.225532
171.83351,224,28.281326
231.003,266,28.343812
197.98285,231,28.387622
158.81236,227,28.480593
230.1541,255,28.520785
174.35887,239,28.570553
119.39754,184,28.66005
348.97412,347,30.083239
127.19243,206,30.117522
172.08536,237,30.118522
184.34308,223,30.137493
146.90193,201,30.205641
180.65715,219,30.307521
194.68112,255,30.358898
196.7769,243,30.461004
141.9734,197,30.496254
130.5297,193,30.522574
215.01405,251,30.637392
138.537,196,30.714243
272.40256,309,30.750235
161.80257,229,30.828384
173.54552,213,30.906128
312.08633,334,30.918522
150.10225,222,30.984306
207.88719,266,31.054461
197.64844,231,31.129399
194.38943,239,31.222151
144.74248,201,31.252529
218.86525,247,31.281395
192.44463,239,31.404282
189.44737,231,31.448967
143.92288,218,31.501058
278.06442,308,31.550535
175.73462,242,31.628318
158.85362,227,31.688174
178.46397,230,31.725225
175.93764,240,31.78168
142.75911,199,31.827027
165.32217,233,31.937374
188.12166,235,31.980659
175.16896,227,32.073505
196.28511,246,33.641259
184.26581,232,33.663348
191.03937,246,33.747102
287.475,321,33.778202
389.95383,406,33.821057
145.81111,218,33.891613
134.23366,198,33.985253
310.06198,337,34.139283
181.37311,238,34.224207
148.11034,219,34.291717
