#{"t_start": 1761277644.0055645, "env_id": "None"}
r,l,t
78.099174,102,4.276793
56.919952,102,4.276793
70.1309,115,4.318349
78.059784,115,4.318349
121.26781,138,4.372722
119.29878,138,4.372722
116.38687,147,4.399537
168.16489,166,4.450674
57.582485,106,4.53727
74.86035,102,4.568031
90.048744,106,4.588152
107.22293,131,4.626644
106.34425,122,4.680388
84.74498,120,4.703419
114.32561,132,4.72319
73.24671,110,4.746372
97.309814,114,4.826597
72.84846,106,4.838307
55.902954,102,4.871242
73.37395,121,4.892051
53.598686,99,4.961247
83.32455,107,4.977397
76.86906,101,5.000668
97.96425,114,5.053225
79.09531,116,5.156428
90.39481,124,5.186778
91.82643,114,5.203246
76.40198,107,5.203246
61.907463,99,5.254858
75.20407,112,5.279951
110.617584,137,5.371047
161.01408,165,5.391651
94.60389,110,5.446628
101.26962,117,5.472233
90.96321,107,5.506511
110.5116,133,5.522187
151.95401,153,5.545128
112.70708,151,5.615091
74.33472,111,5.651374
108.7014,125,5.683087
74.47701,111,5.733643
56.765377,104,5.784981
84.7347,129,5.820681
92.416115,137,5.847892
82.32128,104,5.8866
57.181458,102,5.924045
87.69795,109,5.968235
95.28902,111,6.015125
232.07104,243,6.131853
91.518654,118,6.148077
55.34569,102,6.167984
97.55699,119,6.190462
87.49776,110,6.230256
125.6258,133,6.294576
72.20696,102,6.356382
84.88774,101,6.375264
74.47439,100,6.399515
149.29918,164,6.420519
131.41339,145,6.434978
98.67292,115,6.50443
101.90698,143,6.535276
93.94155,125,6.606816
76.26442,102,6.644589
73.59671,104,6.670972
86.61213,113,6.68458
92.94987,118,8.141824
88.49036,105,8.187433
56.99023,105,8.218913
122.180824,160,8.251098
94.20108,119,8.323977
57.146286,103,8.343662
96.34611,112,8.369045
63.60217,109,8.412464
72.03037,101,8.458945
135.79906,159,8.471371
97.29955,128,8.512987
74.51945,106,8.512987
75.27257,107,8.596017
83.94256,121,8.609038
103.4471,124,8.630093
82.85359,103,8.657975
87.78297,104,8.707012
80.657036,102,8.739053
102.03143,134,8.776954
90.86724,127,8.805681
63.2672,112,8.881058
71.300224,108,8.898215
90.862236,107,8.915963
76.55543,103,8.959891
113.99193,152,8.990242
57.522984,104,9.004693
55.176205,103,9.032681
55.676735,103,9.057043
64.39333,101,9.129892
58.199753,108,9.182859
49.871696,99,9.224711
76.48115,102,9.269323
89.22417,119,9.303054
146.83745,160,9.316664
72.95821,110,9.352348
111.62018,140,9.394051
69.98359,117,9.448385
68.528824,113,9.483786
67.62835,116,9.547038
86.63143,102,9.559716
99.13876,120,9.581153
163.1918,172,9.597204
120.406235,141,9.610359
76.62135,121,9.666742
94.29596,121,9.726129
79.41527,124,9.765307
61.399044,106,9.82712
88.18551,114,9.840368
86.58652,108,9.861298
86.940704,121,9.881448
107.4152,123,9.906693
79.31271,113,9.955298
104.9174,121,10.024531
81.6543,108,10.088076
59.764503,105,10.104393
64.218315,101,10.12115
89.77415,126,10.161751
133.8029,151,10.177969
68.50935,115,10.202155
101.69778,143,10.297935
89.505486,106,10.311672
72.00715,109,10.382507
54.79162,101,10.410007
80.7998,104,10.449927
106.83346,130,10.470543
123.639404,153,10.523481
109.50668,150,10.564922
55.837902,105,10.607998
61.962856,108,10.624184
79.64867,100,11.856622
94.24723,120,11.867989
103.5384,119,11.886881
96.14223,112,11.928241
85.99772,112,11.99045
90.541725,106,12.033323
87.336525,103,12.133752
136.75888,153,12.148314
68.26212,103,12.16476
103.511345,119,12.190262
146.89331,170,12.211512
76.59056,125,12.282702
133.68938,167,12.331104
80.829796,102,12.392843
83.45707,107,12.440112
66.760506,114,12.496958
205.27832,205,12.54158
98.888214,140,12.54158
91.304565,107,12.580311
117.87194,155,12.612483
86.5597,124,12.664748
53.2351,100,12.688905
97.08805,113,12.709359
128.86847,153,12.823137
94.62467,137,12.824131
76.64146,122,12.839333
120.3204,141,12.852125
93.50842,110,12.906644
53.931755,98,12.906644
126.793846,142,12.9283
78.70531,127,12.974713
74.681015,104,13.063204
88.65488,105,13.076515
96.46839,113,13.099214
98.49791,118,13.119963
95.70189,121,13.180099
98.745575,122,13.192317
63.303223,100,13.206835
93.8054,119,13.220429
69.93819,100,13.303219
87.38995,104,13.324926
92.41887,108,13.350107
78.72497,124,13.398144
70.56872,100,13.424354
79.441315,100,13.437944
76.50055,109,13.459115
60.911457,108,13.473483
88.65273,105,13.568925
87.456,104,13.591415
52.112476,98,13.631166
103.26851,144,13.659108
89.15881,105,13.698252
67.86292,116,13.712173
99.326,120,13.744221
126.87969,149,13.792516
92.49852,108,13.840468
91.663994,118,13.917107
82.54119,130,13.929883
83.52186,109,13.964626
151.88016,153,13.964626
81.77943,107,13.99215
89.16632,105,14.037939
78.29181,104,14.07949
146.05441,177,14.11336
83.916336,111,14.186866
69.16874,99,14.207167
100.52182,116,14.227257
124.45259,144,15.50582
92.431404,109,15.526465
127.72461,146,15.548
122.99251,143,15.624965
80.40132,102,15.653223
127.5734,147,15.675681
92.96745,109,15.706315
94.57369,124,15.729266
85.54471,107,15.773994
95.13358,120,15.787856
73.14607,118,15.805618
87.9904,108,15.886624
73.662155,100,15.899054
87.39119,113,16.018852
144.32486,147,16.049015
88.06594,114,16.08588
99.58096,120,16.101916
100.90569,126,16.122189
56.781246,106,16.179159
162.84431,189,16.197929
62.560833,109,16.197929
57.960606,103,16.296641
90.877144,127,16.326209
141.76999,145,16.348345
81.519844,116,16.348345
98.23223,133,16.395078
54.93725,104,16.423851
77.298515,122,16.464616
140.49911,144,16.502765
58.270493,104,16.556731
69.44697,104,16.595854
81.05303,114,16.618512
91.94583,122,16.650317
92.475006,108,16.676901
116.081955,138,16.745743
83.04328,113,16.771536
150.37979,160,16.827646
104.00499,134,16.872312
84.42565,105,16.905807
102.1319,118,16.925393
151.05663,164,16.98026
73.780464,120,17.022951
87.30782,122,17.051945
246.9724,226,17.169181
109.0767,136,17.194582
63.745647,109,17.212898
106.27999,122,17.256788
